Instance Hierarchy,Module Name,Fault Coverage (%),Test Coverage (%),Fault Coverage Loss (%),Test Coverage Loss (%),Total Fault Number,FC,!DT,DT,SR,UU,TI,BL,FP,LR,UT
top_santiago_cpu,top_santiago_cpu,9.13,9.13,90.87,90.87,3922,3788,3442,346,134,0,0,0,0,0,0
top_santiago_cpu.uu_mem,memory,18.52,18.52,29.73,29.73,1398,1382,1126,256,16,0,0,0,0,0,0
top_santiago_cpu.uu_alu,alu,0.00,0.00,26.82,26.82,1096,1016,1016,0,80,0,0,0,0,0,0
top_santiago_cpu.uu_ctrl,control,1.60,1.60,12.99,12.99,538,500,492,8,38,0,0,0,0,0,0
top_santiago_cpu.uu_muxB,mux4_registered,7.14,7.14,5.49,5.49,224,224,208,16,0,0,0,0,0,0,0
top_santiago_cpu.uu_muxB.uu_mux4,mux4,0.00,0.00,4.65,4.65,176,176,176,0,0,0,0,0,0,0,0
top_santiago_cpu.uu_muxB.uu_rb,register_bank,33.33,33.33,0.84,0.84,48,48,32,16,0,0,0,0,0,0,0
top_santiago_cpu.uu_muxA,mux4_registered,7.14,7.14,5.49,5.49,224,224,208,16,0,0,0,0,0,0,0
top_santiago_cpu.uu_muxA.uu_mux4,mux4,0.00,0.00,4.65,4.65,176,176,176,0,0,0,0,0,0,0,0
top_santiago_cpu.uu_muxA.uu_rb,register_bank,33.33,33.33,0.84,0.84,48,48,32,16,0,0,0,0,0,0,0
