################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 21:06:28 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow_netlist
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
3, top_santiago_cpu.uu_muxA.uu_rb.out_reg_4_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
4, top_santiago_cpu.uu_muxA.uu_rb.out_reg_7_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
5, top_santiago_cpu.uu_muxA.uu_rb.out_reg_6_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
6, top_santiago_cpu.uu_muxA.uu_rb.out_reg_3_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
7, top_santiago_cpu.uu_muxA.uu_rb.out_reg_5_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
8, top_santiago_cpu.uu_muxA.uu_rb.out_reg_0_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
9, top_santiago_cpu.uu_muxA.uu_rb.out_reg_1_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
10, top_santiago_cpu.uu_muxA.uu_rb.out_reg_2_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
11, top_santiago_cpu.uu_muxB.uu_rb.out_reg_7_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
12, top_santiago_cpu.uu_muxB.uu_rb.out_reg_4_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), RSTB->01_cnt(yy-), pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
