Instance Hierarchy,Module Name,Fault Coverage (%),Test Coverage (%),Fault Coverage Loss (%),Test Coverage Loss (%),Total Fault Number,FC,!DT,DT,SR,UU,TI,BL,LR,UT
top_santiago_cpu,top_santiago_cpu,98.06,100.00,1.94,0.00,9704,9704,0,9516,0,188,0,0,0,0
top_santiago_cpu.uu_ctrl,control_test_1,100.00,100.00,0.00,0.00,294,294,0,294,0,0,0,0,0,0
top_santiago_cpu.uu_mem,memory_test_1,100.00,100.00,0.00,0.00,3866,3866,0,3866,0,0,0,0,0,0
top_santiago_cpu.uu_alu,alu,95.46,100.00,1.92,0.00,4094,4094,0,3908,0,186,0,0,0,0
top_santiago_cpu.uu_muxB,mux4_registered_test_1,100.00,100.00,0.00,0.00,292,292,0,292,0,0,0,0,0,0
top_santiago_cpu.uu_muxB.uu_rb,register_bank_test_1,100.00,100.00,0.00,0.00,180,180,0,180,0,0,0,0,0,0
top_santiago_cpu.uu_muxB.uu_mux4,mux4_0,100.00,100.00,0.00,0.00,112,112,0,112,0,0,0,0,0,0
top_santiago_cpu.uu_muxA,mux4_registered_test_0,100.00,100.00,0.00,0.00,312,312,0,312,0,0,0,0,0,0
top_santiago_cpu.uu_muxA.uu_rb,register_bank_test_0,100.00,100.00,0.00,0.00,200,200,0,200,0,0,0,0,0,0
top_santiago_cpu.uu_muxA.uu_mux4,mux4_1,100.00,100.00,0.00,0.00,112,112,0,112,0,0,0,0,0,0
