################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 22:20:42 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
3, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
4, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
5, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
6, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[3] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
7, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[4] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
8, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[5] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
9, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[6] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
10, top_santiago_cpu.uu_muxA.uu_rb.\out_reg[7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
11, top_santiago_cpu.uu_muxB.uu_rb.\out_reg[0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
12, top_santiago_cpu.uu_muxB.uu_rb.\out_reg[1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), CLR->01_cnt(yy-), pin absent, observable, used, Q->X D->X, Q->X D->X
